ID1,ID2,Latitude,Longitude,Elevation
72,CWHdm,49.265,-122.573303,151
1105660,CWHdm,49.36,-123.029999,261
1101144,CWHdm,49.233333,-122.966667,40
1100360,CWHdm,49.283333,-122.48333,164
1108430,CWHdm,49.283333,-123.116669,30
1107873,CWHdm,49.1925,-122.860001,96
1107H7H,CWHdm,49.183333,-122.849998,86
76,CWHdm,49.691027,-123.159515,7
1107H79,CWHdm,49.2,-122.783333,82
1101146,CWHdm,49.283333,-122.98333,173
1108410,CWHdm,49.25,-123.050003,72
1101147,CWHdm,49.283333,-122.966667,75
1101155,CWHdm,49.266667,-122.933334,109
78,CWHdm,50.116032,-123.75518,476
1108446,CWHdm,49.3,-123.116699,12
1101158,CWHdm,49.27839,-122.917999,344
1101166,CWHdm,49.3,-123.01667,5
11011MF,CWHdm,49.25,-122.916664,20
1101200,CWHdm,49.25,-122.883331,102
1101540,CWHdm,49.183333,-121.949997,15
1101565,CWHdm,49.1,-121.633331,370
1101567,CWHdm,49.066667,-121.833336,234
1103648,CWHdm,49.333333,-122.916664,0
1103660,CWHdm,49.3,-122.883331,0
1104634,CWHdm,49.45,-123.23333,168
1104902,CWHdm,49.233333,-122.616669,16
1104R02,CWHdm,49.21111,-122.506699,79
1105190,CWHdm,49.133333,-122.333336,40
1105192,CWHdm,49.1525,-122.270798,193
1105550,CWHdm,49.216667,-122.933334,97
1105553,CWHdm,49.216667,-122.900002,55
