STATION,PPT_sp,PPT_sm,PPT_at,PPT_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmax_wt,Tmin_sp,Tmin_sm,Tmin_at,Tmin_wt,Tave_sp,Tave_sm,Tave_at,Tave_wt,MSP,MAP,MAT,MWMT,MCMT,TD,AHM,SHM
93560,241,139,219,320,7.366666667,19.4,7.266666667,-3.033333333,-2.133333333,7.6,0.1,-8.433333333,2.616666667,13.5,3.683333333,-5.733333333,49.8,919,3.516666667,15.3,-6.5,21.8,14.70801596,307.2289157
1120630,NA,NA,NA,NA,10.56666667,NA,NA,-0.166666667,-2.366666667,NA,NA,-9.066666667,4.1,NA,NA,-4.616666667,NA,NA,NA,NA,-6.1,NA,NA,NA
1120633,100,130,126,155,11.33333333,22.2,10.73333333,-0.633333333,-2.3,4.8,-1.933333333,-9.7,4.516666667,13.5,4.4,-5.166666667,41.2,511,4.3125,14.75,-6.5,21.25,28.00880626,358.0097087
92633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93578,291,110,235,419,9.866666667,21.93333333,11.46666667,0.5,-5.766666667,3.533333333,-3.633333333,-12.06666667,2.05,12.73333333,3.916666667,-5.783333333,44.8,1055,3.229166667,14.65,-6.8,21.45,12.53949447,327.0089286
500522,793,396,1491,1104,8.433333333,16.13333333,8.766666667,2.333333333,0.4,8.5,3.433333333,-2.766666667,4.416666667,12.31666667,6.1,-0.216666667,186.2,3784,5.654166667,13.05,-0.85,13.9,4.136936223,70.08592911
20398,95,119,55,27,14.73333333,26.56666667,15.7,4.166666667,-1.2,9.966666667,-0.433333333,-10.2,6.766666667,18.26666667,7.633333333,-3.016666667,39,296,7.4125,19.7,-3.75,23.45,58.82601351,505.1282051
32680,NA,208,NA,1025,NA,23.03333333,NA,5.9,NA,10.53333333,NA,-0.1,NA,16.78333333,NA,2.9,NA,NA,NA,17.8,2,15.8,NA,NA
93509,312,211,181,171,5.833333333,17.26666667,6.5,-2.566666667,-6,3.6,-3.066666667,-10.76666667,-0.083333333,10.43333333,1.716666667,-6.666666667,76.6,875,1.35,12,-7.2,19.2,12.97142857,156.6579634
1A03P,238,287,308,252,6.066666667,16.53333333,4.866666667,-3.833333333,-3.366666667,5.7,-1.8,-9.266666667,1.35,11.11666667,1.533333333,-6.55,93.4,1085,1.8625,12,-7.7,19.7,10.93317972,128.4796574
1090660,204,276,281,257,7.4,18,7,-2.3,-4.333333333,4.9,-2.833333333,-11.8,1.533333333,11.45,2.083333333,-7.05,86.8,1018,2.004166667,12.35,-7.95,20.3,11.79191225,142.281106
BAR,263,270,280,260,8.066666667,18.73333333,7.4,-2.233333333,-4.633333333,4.5,-2.966666667,-10.5,1.716666667,11.61666667,2.216666667,-6.366666667,90.4,1073,2.295833333,13.05,-7.8,20.85,11.45930413,144.3584071
2B06P,305,303,301,310,7.933333333,17.33333333,6.633333333,-2.1,-4.033333333,4.366666667,-2.7,-9.933333333,1.95,10.85,1.966666667,-6.016666667,101.2,1219,2.1875,12.55,-6.75,19.3,9.997949139,124.0118577
21123,NA,NA,NA,NA,16.56666667,28.43333333,13,0.6,1.733333333,11.23333333,2.366666667,-6.566666667,9.15,19.83333333,7.683333333,-2.983333333,NA,NA,8.420833333,21.1,-4.3,25.4,NA,NA
1160670,105,147,133,111,15.46666667,26.66666667,12.46666667,-0.033333333,0.733333333,9.6,0.9,-7.533333333,8.1,18.13333333,6.683333333,-3.783333333,46,496,7.283333333,19.35,-4.9,24.25,34.84543011,420.6521739
3010534,NA,337,NA,NA,NA,14.7,NA,NA,NA,5.566666667,NA,NA,NA,10.13333333,NA,NA,NA,NA,NA,11.25,NA,NA,NA,NA
93461,236,167,129,89,7.133333333,20.2,8.066666667,-1.466666667,-3.966666667,6,-1.566666667,-9.833333333,1.583333333,13.1,3.25,-5.65,62.4,621,3.070833333,14.9,-6.2,21.1,21.04804079,238.7820513
30705LQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32681,334,104,368,504,15.83333333,24.7,17.43333333,8.7,4.333333333,10.1,5,0.266666667,10.08333333,17.4,11.21666667,4.483333333,48.6,1310,10.79583333,18.65,3.65,15,15.87468193,383.744856
3070540,NA,NA,NA,NA,NA,20.43333333,NA,NA,NA,8.933333333,NA,NA,NA,14.68333333,NA,NA,NA,NA,NA,15.75,NA,NA,NA,NA
20402,NA,NA,52,10,NA,NA,NA,NA,NA,10.26666667,-2.233333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1150690,111,131,94,98,13.83333333,25.7,12.6,-0.333333333,-0.533333333,8.4,-0.6,-9.466666667,6.65,17.05,6,-4.9,43.2,434,6.2,18.4,-6.15,24.55,37.32718894,425.9259259
12884,169,95,168,194,12.9,25.1,13.16666667,2.6,0.466666667,8.4,1.166666667,-4.933333333,6.683333333,16.75,7.166666667,-1.166666667,36.2,626,7.358333333,18.05,-1.95,20,27.72896699,498.6187845
91629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93464,213,153,131,108,6.533333333,18.53333333,7.866666667,-2.233333333,-5.666666667,5.033333333,-2.7,-11,0.433333333,11.78333333,2.583333333,-6.616666667,56,605,2.045833333,13.55,-7.25,20.8,19.91046832,241.9642857
115507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93617,277,107,200,346,9.6,23.3,11.9,-0.133333333,-4.033333333,4.066666667,-2.833333333,-11.16666667,2.783333333,13.68333333,4.533333333,-5.65,45.4,930,3.8375,15.45,-6.4,21.85,14.87903226,340.30837
93520,213,118,147,231,7.1,20.9,9.566666667,-2.4,-7.7,2.7,-5.533333333,-15.7,-0.3,11.8,2.016666667,-9.05,44.8,709,1.116666667,13.55,-9.75,23.3,15.6793606,302.4553571
BCK,520,160,859,1074,11.26666667,19.96666667,12.66666667,5.2,2.066666667,8.333333333,4,-0.7,6.666666667,14.15,8.333333333,2.25,71.2,2613,7.85,15.2,1.65,13.55,6.831228473,213.4831461
